job_id,job_link,last_processed_time,job_title,company,City,State,job_classification,job_keyword,seniority_level,seniority_level_keyword,title_id,keyword_id
73,https://www.linkedin.com/jobs/view/data-security-analyst-at-robert-half-3798507896,2024-01-21 08:26:19.667737+0000,Data Security Analyst,Robert Half,Plano,TX,Data Governance & Security,Data Security,Entry-Level / Junior,unclassified,8,32
74,https://www.linkedin.com/jobs/view/data-scientist-at-itech-solutions-3714398515,2024-01-21 14:27:07.477262+0000,Data Scientist,iTech Solutions,San Jose,CA,Data Scientist,Data Scientist,Mid-Level,unclassified,10,16
75,https://www.linkedin.com/jobs/view/principal-technical-data-analyst-at-intuit-3771020836,2024-01-21 07:23:55.704219+0000,Principal Technical Data Analyst,Intuit,Mountain View,CA,Data Analyst,Data Analyst,Principal / Staff-Level,Principal,6,9
76,https://www.linkedin.com/jobs/view/data-scientist-at-anika-systems-3799868542,2024-01-21 00:28:06.992895+0000,Data Scientist,Anika Systems,Leesburg,VA,Data Scientist,Data Scientist,Mid-Level,unclassified,10,16
77,https://www.linkedin.com/jobs/view/sr-ml-software-engineer-ai-platform-at-rivian-3743838817,2024-01-21 07:24:04.513612+0000,"Sr. ML Software Engineer, AI Platform",Rivian,Palo Alto,CA,Software & Platform Engineering,Software Engineer,Senior-Level,Sr,2,2
78,https://www.linkedin.com/jobs/view/data-entry-specialist-at-f%C5%8Dcus-an-%C5%8Dnin-group-company-3792240528,2024-01-21 07:46:04.084026+0000,Data Entry Specialist,Fōcus - an Ōnin Group company,Louisville,KY,Data Specialist,Data Entry Specialist,Senior-Level,Specialist,13,33
79,https://www.linkedin.com/jobs/view/data-engineer-etl-expert-2021-0140-at-acclaim-technical-services-3787773691,2024-01-21 07:24:13.33374+0000,Data Engineer ETL Expert (2021-0140),Acclaim Technical Services,Chantilly,VA,Data Engineer,Data Engineer,Senior-Level,Expert,4,14
80,https://www.linkedin.com/jobs/view/lead-data-engineer-finops-at-jobs-for-humanity-3804058211,2024-01-19 13:17:11.755969+0000,Lead Data Engineer (FinOps),Jobs for Humanity,Harrisonburg,VA,Data Engineer,Lead Data Engineer,Lead,Lead,4,4
81,https://www.linkedin.com/jobs/view/principal-clinical-data-scientist-focus-on-statistics-at-boehringer-ingelheim-3678216239,2024-01-19 14:30:42.010921+0000,Principal Clinical Data Scientist - Focus on Statistics,Boehringer Ingelheim,Ridgefield,CT,Data Scientist,Data Scientist,Principal / Staff-Level,Principal,10,16
82,https://www.linkedin.com/jobs/view/senior-database-developer-at-aperia-3657165841,2024-01-21 13:17:54.869692+0000,Senior Database Developer,Aperia,Alpharetta,GA,Database Engineer / Administrator,Database,Senior-Level,Senior,9,11
83,https://www.linkedin.com/jobs/view/senior-business-data-analyst-at-jobs-for-humanity-3805617017,2024-01-19 11:14:53.219301+0000,SENIOR BUSINESS DATA ANALYST,Jobs for Humanity,Camden,NJ,Data Analyst,Data Analyst,Senior-Level,Senior,6,9
84,https://www.linkedin.com/jobs/view/staff-machine-learning-engineer-series-a-at-recruiting-from-scratch-3744395400,2024-01-19 10:53:46.16342+0000,"Staff Machine Learning Engineer, Series A",Recruiting from Scratch,Austin,TX,Machine Learning Engineer,Machine Learning Engineer,Principal / Staff-Level,Staff,1,1
85,https://www.linkedin.com/jobs/view/data-scientist-at-keylent-inc-3768063385,2024-01-19 09:45:09.215838+0000,Data Scientist,Keylent Inc,Roswell,GA,Data Scientist,Data Scientist,Mid-Level,unclassified,10,16
86,https://www.linkedin.com/jobs/view/data-scientist-with-al-ml-at-saransh-inc-3735366115,2024-01-19 09:45:09.215838+0000,Data Scientist with AL & ML,Saransh Inc,Los Angeles,CA,Data Scientist,Data Scientist,Mid-Level,unclassified,10,16
87,https://www.linkedin.com/jobs/view/senior-bsa-aml-records-specialist-at-nbt-bank-3804799682,2024-01-21 07:25:33.017833+0000,Senior BSA/AML Records Specialist,NBT Bank,Lakeville,CT,Risk & Compliance Analytics,Bsa,Senior-Level,Senior,5,28
88,https://www.linkedin.com/jobs/view/python-data-engineer-at-logic20-20-inc-3789090007,2024-01-19 09:45:09.215838+0000,Python Data Engineer,"Logic20/20, Inc.",Denver,CO,Data Engineer,Data Engineer,Entry-Level / Junior,unclassified,4,14
89,https://www.linkedin.com/jobs/view/aws-data-engineer-at-lti-larsen-toubro-infotech-3718986845,2024-01-19 09:45:09.215838+0000,AWS Data Engineer,LTI - Larsen & Toubro Infotech,Hartford,CT,Data Engineer,Data Engineer,Entry-Level / Junior,unclassified,4,14
90,https://www.linkedin.com/jobs/view/senior-data-scientist-at-adobe-3800099000,2024-01-19 11:06:59.050926+0000,Senior Data Scientist,Adobe,San Francisco,CA,Data Scientist,Data Scientist,Senior-Level,Senior,10,16
91,https://www.linkedin.com/jobs/view/data-engineer-mastery-at-jobs-for-humanity-3797114260,2024-01-19 09:45:09.215838+0000,Data Engineer - Mastery,Jobs for Humanity,Hartford,CT,Data Engineer,Data Engineer,Principal / Staff-Level,Mastery,4,14
92,https://www.linkedin.com/jobs/view/data-engineer-at-outdefine-3805524945,2024-01-19 09:45:09.215838+0000,Data Engineer,Outdefine,Plano,TX,Data Engineer,Data Engineer,Entry-Level / Junior,unclassified,4,14
93,https://www.linkedin.com/jobs/view/data-engineer-analyst-at-squad-techlab-3768734796,2024-01-19 09:45:09.215838+0000,Data Engineer/Analyst,SQUAD Techlab,Fremont,CA,Data Engineer,Data Engineer,Entry-Level / Junior,unclassified,4,14
94,https://www.linkedin.com/jobs/view/staff-data-engineer-at-sipe-education-3757941996,2024-01-19 09:45:09.215838+0000,Staff Data Engineer,SIPE Education,San Francisco,CA,Data Engineer,Data Engineer,Principal / Staff-Level,Staff,4,14
95,https://www.linkedin.com/jobs/view/manager-data-analyst-at-kpmg-us-3790112552,2024-01-19 09:45:09.215838+0000,"Manager, Data Analyst",KPMG US,Orlando,FL,Data Analyst,Data Analyst,Lead,Manager,6,9
96,https://www.linkedin.com/jobs/view/data-analyst-privacy-kiewit-technology-group-at-kiewit-3803804596,2024-01-19 09:45:09.215838+0000,"Data Analyst, Privacy - Kiewit Technology Group",Kiewit,Omaha,NE,Data Analyst,Data Analyst,Entry-Level / Junior,unclassified,6,9
97,https://www.linkedin.com/jobs/view/staff-business-data-analyst-at-intuit-3754943448,2024-01-19 09:45:09.215838+0000,Staff Business Data Analyst,Intuit,Mountain View,CA,Data Analyst,Data Analyst,Principal / Staff-Level,Staff,6,9
98,https://www.linkedin.com/jobs/view/senior-data-analyst-on-site-at-hepco-inc-3804618016,2024-01-19 09:45:09.215838+0000,Senior Data Analyst (On-site),"HEPCO, Inc.",New York,NY,Data Analyst,Data Analyst,Senior-Level,Senior,6,9
99,https://www.linkedin.com/jobs/view/machine-learning-software-developer-software-engineer-3-17346-at-mission-technologies-a-division-of-hii-3789912709,2024-01-19 09:45:09.215838+0000,Machine Learning Software Developer (Software Engineer 3) - 17346,"Mission Technologies, a division of HII",Virginia Beach,VA,MLOps Engineer,Machine Learning Software Developer,Mid-Level,unclassified,7,34
100,https://www.linkedin.com/jobs/view/database-architect-at-pangeatwo-3771612618,2024-01-19 09:45:09.215838+0000,Database Architect,PANGEATWO,Birmingham,AL,Database Engineer / Administrator,Database,Entry-Level / Junior,unclassified,9,11
101,https://www.linkedin.com/jobs/view/senior-data-scientist-at-geisinger-3683867532,2024-01-19 09:45:09.215838+0000,Senior Data Scientist,Geisinger,Home,KS,Data Scientist,Data Scientist,Senior-Level,Senior,10,16
102,https://www.linkedin.com/jobs/view/python-data-engineer-at-logic20-20-inc-3789087486,2024-01-19 09:45:09.215838+0000,Python Data Engineer,"Logic20/20, Inc.",Dallas,TX,Data Engineer,Data Engineer,Entry-Level / Junior,unclassified,4,14
103,https://www.linkedin.com/jobs/view/sr-data-architect-at-job-juncture-3794552852,2024-01-19 09:45:09.215838+0000,Sr. Data Architect,Job Juncture,Stamford,CT,Data Architect,Data Architect,Senior-Level,Sr,11,30
104,https://www.linkedin.com/jobs/view/data-engineer-at-scipher-medicine-3796711346,2024-01-19 09:45:09.215838+0000,Data Engineer,Scipher Medicine,Waltham,MA,Data Engineer,Data Engineer,Entry-Level / Junior,unclassified,4,14
105,https://www.linkedin.com/jobs/view/data-analyst-at-stellar-professionals-3690575844,2024-01-19 09:45:09.215838+0000,Data analyst,Stellar Professionals,Richmond,VA,Data Analyst,Data Analyst,Entry-Level / Junior,unclassified,6,9
106,https://www.linkedin.com/jobs/view/data-engineer-at-intelletec-3646977344,2024-01-19 09:45:09.215838+0000,Data Engineer,Intelletec,Arlington,VA,Data Engineer,Data Engineer,Entry-Level / Junior,unclassified,4,14
